ASN,Name,Code
220  ," OOALC-HOSTNET-", US
221  ," WRALC-HOSTNET-", US
222  ," SMALC-HOSTNET-", US
223  ," 223", US
224  ," UNINETT UNINETT, The Norwegian University &amp; Research Network", NO
225  ," VIRGINIA-", US
226  ," LOS-NETTOS-", US
227  ," DNIC--00227", US
228  ," DNIC--00228", US
229  ," MERIT--6", US
230  ," MERIT--7", US
231  ," MISU-231", US
232  ," MERIT--9", US
233  ," MERIT--10", US
234  ," BLACKROSE-1", US
235  ," MERIT--12", US
236  ," MERIT--13", US
237  ," MERIT--14", US
238  ," MERIT--15", US
239  ," UTORONTO-", CA
240  ," SAALC-HOSTNET-", US
241  ," OCALC-HOSTNET-", US
242  ," SSSD-", US
243  ," HARRIS-ATD-", US
244  ," DNIC--00244", US
245  ," PRC-", US
246  ," IFICS-GW-", US
247  ," ROMENET-", US
248  ," IDDQD- IDDQD-", EU
249  ," PETERCOM- 249", EU
250  ," SACREDCHAO- 250.net Foundation", EU
251  ," DENISKLIMEK- Denis Klimek", EU
252  ," DNIC--00252", US
253  ," NTTA-253", US
254  ," TWG-NET-", US
255  ," PAFB-GW", US
256  ," DNIC--00256", US
257  ," DNIC--00257", US
258  ," BRAGGSRI-EGP-", US
259  ," SCUBED-", US
260  ," XCONNECT24", US
261  ," FR-CINES-MONTPELLIER FR", EU
262  ," VERIO", US
263  ," NTTA-263", US
264  ," SRINET-", US
265  ," DSI-WR-16", US
266  ," DHC-USA-INC", US
267  ," NETHER-NET", US
268  ," USUHSNET-", US
269  ," INCSYS-", US
270  ," 270", US
271  ," BCNET-", CA
272  ," CTNOSC-N-272", US
273  ," DNIC--00273", US
274  ," AINET-274", US
275  ," NTTA-275", US
276  ," OTS--276", US
277  ," CSC-300-277", US
278  ," Universidad Nacional Autonoma de Mexico", MX
279  ," LVLT-279", US
280  ," NTTA-280", US
281  ," LVLT-281", US
282  ," MERIT-AUX-", US
283  ," MPOWERLABS", US
284  ," UUNET-IPV6", US
285  ," DNIC--00285", US
286  ," KPN", NL
287  ," DNIC--00287", US
288  ," ESA Robert Bosch Strasse 5", DE
289  ," DNIC--00289", US
290  ," SHOWNET-", US
291  ," ESNET-ET", US
292  ," ESNET-WEST", US
293  ," ESNET", US
294  ," FRANCE-IP-NET- Institut National de Recherche en Informatique et Automatique", EU
295  ," USTCCLOUD", US
296  ," ACFP-", US
297  ," 297", US
298  ," RADC-LONEX-", US
299  ," UCINET-", US
300  ," DNIC--00300", US
301  ," C3PO-", US
302  ," BCM-INFO-NET-", US
303  ," DNIC--00303", US
304  ," SRIEXPRIGNET-", US
305  ," DNIC--00305", US
306  ," DNIC-BLK-00306-00371", US
307  ," DNIC-BLK-00306-00371", US
308  ," DNIC-BLK-00306-00371", US
309  ," DNIC-BLK-00306-00371", US
310  ," DNIC-BLK-00306-00371", US
311  ," DNIC-BLK-00306-00371", US
312  ," DNIC-BLK-00306-00371", US
313  ," DNIC-BLK-00306-00371", US
314  ," DNIC-BLK-00306-00371", US
315  ," DNIC-BLK-00306-00371", US
316  ," DNIC-BLK-00306-00371", US
317  ," DNIC-BLK-00306-00371", US
318  ," DNIC-BLK-00306-00371", US
319  ," DNIC-BLK-00306-00371", US
320  ," DNIC-BLK-00306-00371", US
321  ," DNIC-BLK-00306-00371", US
322  ," DNIC-BLK-00306-00371", US
323  ," DNIC-BLK-00306-00371", US
324  ," DNIC-BLK-00306-00371", US
325  ," DNIC-BLK-00306-00371", US
326  ," DNIC-BLK-00306-00371", US
327  ," DNIC-BLK-00306-00371", US
328  ," DNIC-BLK-00306-00371", US
329  ," DNIC-BLK-00306-00371", US
330  ," DNIC-BLK-00306-00371", US
331  ," DNIC-BLK-00306-00371", US
332  ," DNIC-BLK-00306-00371", US
333  ," DNIC-BLK-00306-00371", US
334  ," DNIC-BLK-00306-00371", US
335  ," DNIC-BLK-00306-00371", US
336  ," DNIC-BLK-00306-00371", US
337  ," DNIC-BLK-00306-00371", US
338  ," DNIC-BLK-00306-00371", US
339  ," DNIC-BLK-00306-00371", US
340  ," DNIC-BLK-00306-00371", US
341  ," DNIC-BLK-00306-00371", US
342  ," DNIC-BLK-00306-00371", US
343  ," DNIC-BLK-00306-00371", US
344  ," DNIC-BLK-00306-00371", US
345  ," DNIC-BLK-00306-00371", US
346  ," DNIC-BLK-00306-00371", US
347  ," DNIC-BLK-00306-00371", US
348  ," DNIC-BLK-00306-00371", US
349  ," DNIC-BLK-00306-00371", US
350  ," DNIC-BLK-00306-00371", US
351  ," DNIC-BLK-00306-00371", US
352  ," DNIC-BLK-00306-00371", US
353  ," DNIC-BLK-00306-00371", US
354  ," DNIC-BLK-00306-00371", US
355  ," DNIC-BLK-00306-00371", US
356  ," DNIC-BLK-00306-00371", US
357  ," DNIC-BLK-00306-00371", US
358  ," DNIC-BLK-00306-00371", US
359  ," DNIC-BLK-00306-00371", US
360  ," DNIC-BLK-00306-00371", US
361  ," DNIC-BLK-00306-00371", US
362  ," DNIC-BLK-00306-00371", US
363  ," DNIC-BLK-00306-00371", US
364  ," DNIC-BLK-00306-00371", US
365  ," DNIC-BLK-00306-00371", US
366  ," DNIC-BLK-00306-00371", US
367  ," DNIC-BLK-00306-00371", US
368  ," DNIC-BLK-00306-00371", US
369  ," DNIC-BLK-00306-00371", US
370  ," DNIC-BLK-00306-00371", US
371  ," DNIC-BLK-00306-00371", US
372  ," 372", US
373  ," MITRE--4", US
374  ," BROOKS-", US
375  ," TIETOTIE- P.O.Box 38. FI-00441 Helsinki Finland.", FI
376  ," RISQ-", CA
377  ," SNLA-NET-", US
378  ," MACHBA- ILAN", IL
379  ," AFCONC-BLOCK1-", US
380  ," AFCONC-BLOCK1-", US
381  ," AFCONC-BLOCK1-", US
382  ," AFCONC-BLOCK1-", US
383  ," AFCONC-BLOCK1-", US
384  ," AFCONC-BLOCK1-", US
385  ," AFCONC-BLOCK1-", US
386  ," AFCONC-BLOCK1-", US
387  ," AFCONC-BLOCK1-", US
388  ," AFCONC-BLOCK1-", US
389  ," AFCONC-BLOCK1-", US
390  ," AFCONC-BLOCK1-", US
391  ," AFCONC-BLOCK1-", US
392  ," AFCONC-BLOCK1-", US
393  ," AFCONC-BLOCK1-", US
394  ," AFCONC-BLOCK1-", US
395  ," AFCONC-BLOCK1-", US
396  ," AFCONC-BLOCK1-", US
397  ," AFCONC-BLOCK1-", US
398  ," AFCONC-BLOCK1-", US
399  ," AFCONC-BLOCK1-", US
400  ," AFCONC-BLOCK1-", US
401  ," AFCONC-BLOCK1-", US
402  ," AFCONC-BLOCK1-", US
403  ," AFCONC-BLOCK1-", US
404  ," AFCONC-BLOCK1-", US
405  ," AFCONC-BLOCK1-", US
406  ," AFCONC-BLOCK1-", US
407  ," AFCONC-BLOCK1-", US
408  ," AFCONC-BLOCK1-", US
409  ," AFCONC-BLOCK1-", US
410  ," AFCONC-BLOCK1-", US
411  ," AFCONC-BLOCK1-", US
412  ," AFCONC-BLOCK1-", US
413  ," AFCONC-BLOCK1-", US
414  ," AFCONC-BLOCK1-", US
415  ," AFCONC-BLOCK1-", US
416  ," AFCONC-BLOCK1-", US
417  ," AFCONC-BLOCK1-", US
418  ," AFCONC-BLOCK1-", US
419  ," AFCONC-BLOCK1-", US
420  ," AFCONC-BLOCK1-", US
421  ," AFCONC-BLOCK1-", US
422  ," AFCONC-BLOCK1-", US
423  ," AFCONC-BLOCK1-", US
424  ," AFCONC-BLOCK1-", US
425  ," AFCONC-BLOCK1-", US
426  ," AFCONC-BLOCK1-", US
427  ," AFCONC-BLOCK1-", US
428  ," AFCONC-BLOCK1-", US
429  ," AFCONC-BLOCK1-", US
430  ," AFCONC-BLOCK1-", US
431  ," AFCONC-BLOCK1-", US
432  ," AFCONC-BLOCK1-", US
433  ," AFCONC-BLOCK1-", US
434  ," AFCONC-BLOCK1-", US
435  ," AFCONC-BLOCK1-", US
436  ," AFCONC-BLOCK1-", US
437  ," AFCONC-BLOCK1-", US
438  ," AFCONC-BLOCK1-", US
439  ," AFCONC-BLOCK1-", US
440  ," AFCONC-BLOCK1-", US
441  ," AFCONC-BLOCK1-", US
442  ," AFCONC-BLOCK1-", US
443  ," AFCONC-BLOCK1-", US
444  ," AFCONC-BLOCK1-", US
445  ," AFCONC-BLOCK1-", US
446  ," AFCONC-BLOCK1-", US
447  ," AFCONC-BLOCK1-", US
448  ," AFCONC-BLOCK1-", US
449  ," AFCONC-BLOCK1-", US
450  ," AFCONC-BLOCK1-", US
451  ," AFCONC-BLOCK1-", US
452  ," AFCONC-BLOCK1-", US
453  ," AFCONC-BLOCK1-", US
454  ," AFCONC-BLOCK1-", US
455  ," AFCONC-BLOCK1-", US
456  ," AFCONC-BLOCK1-", US
457  ," AFCONC-BLOCK1-", US
458  ," AFCONC-BLOCK1-", US
459  ," AFCONC-BLOCK1-", US
460  ," AFCONC-BLOCK1-", US
461  ," AFCONC-BLOCK1-", US
462  ," AFCONC-BLOCK1-", US
463  ," AFCONC-BLOCK1-", US
464  ," AFCONC-BLOCK1-", US
465  ," AFCONC-BLOCK1-", US
466  ," AFCONC-BLOCK1-", US
467  ," AFCONC-BLOCK1-", US
468  ," AFCONC-BLOCK1-", US
469  ," AFCONC-BLOCK1-", US
470  ," AFCONC-BLOCK1-", US
471  ," AFCONC-BLOCK1-", US
472  ," AFCONC-BLOCK1-", US
473  ," AFCONC-BLOCK1-", US
474  ," AFCONC-BLOCK1-", US
475  ," AFCONC-BLOCK1-", US
476  ," AFCONC-BLOCK1-", US
477  ," AFCONC-BLOCK1-", US
478  ," AFCONC-BLOCK1-", US
479  ," AFCONC-BLOCK1-", US
480  ," AFCONC-BLOCK1-", US
481  ," AFCONC-BLOCK1-", US
482  ," AFCONC-BLOCK1-", US
483  ," AFCONC-BLOCK1-", US
484  ," AFCONC-BLOCK1-", US
485  ," AFCONC-BLOCK1-", US
486  ," AFCONC-BLOCK1-", US
487  ," AFCONC-BLOCK1-", US
488  ," AFCONC-BLOCK1-", US
489  ," AFCONC-BLOCK1-", US
490  ," AFCONC-BLOCK1-", US
491  ," AFCONC-BLOCK1-", US
492  ," AFCONC-BLOCK1-", US
493  ," AFCONC-BLOCK1-", US
494  ," AFCONC-BLOCK1-", US
495  ," AFCONC-BLOCK1-", US
496  ," AFCONC-BLOCK1-", US
497  ," AFCONC-BLOCK1-", US
498  ," AFCONC-BLOCK1-", US
499  ," AFCONC-BLOCK1-", US
500  ," AFCONC-BLOCK1-", US
501  ," AFCONC-BLOCK1-", US
502  ," AFCONC-BLOCK1-", US
503  ," AFCONC-BLOCK1-", US
504  ," AFCONC-BLOCK1-", US
505  ," AFCONC-BLOCK1-", US
506  ," AFCONC-BLOCK1-", US
507  ," AFCONC-BLOCK1-", US
508  ," AFCONC-BLOCK1-", US
509  ," DNIC--00509", US
510  ," INTERNET", US
511  ," SCOEC-N", US
512  ," DNIC--00512", US
513  ," CERN", CH
514  ," DSADC-MECH", US
515  ," DNIC--00515", US
516  ," KODAK-BTC", US
517  ," Darmstaedter Landstrasse 184", NL
518  ," DNIC--00518", US
519  ," ISCNET", US
520  ," COINSDISNET3", US
521  ," FORD-SRL-", US
522  ," AFSC-SSD-", US
523  ," DNIC--00523", US
524  ," LVLT-524", US
525  ," CTNOSC-525-", US
526  ," DNIC--00526", US
527  ," DNIC--00527", US
528  ," AUGSBURG-GW1- CDOIM Augsburg", EU
529  ," BURTONWOOD-GW1- CDOIM Burtonwood Information Center", EU
530  ," DNIC--00530", US
531  ," DNIC--00531", US
532  ," DNIC--00532", US
533  ," DNIC--00533", US
534  ," DNIC--00534", US
535  ," DNIC--00535", US
536  ," DNIC--00536", US
537  ," DNIC--00537", US
538  ," DNIC--00538", US
539  ," DNIC--00539", US
540  ," DNIC--00540", US
541  ," IGAUTON", US
542  ," ARNET", CA
543  ," HP-POLYCOM", US
544  ," SONERA-FUNET-TRANSIT Sonera Corporation", EU
545  ," NRI", US
546  ," PARSONS-PGS-1", US
547  ," N-IBM-LEX", US
548  ," HQUSAF-", US
549  ," GTANET-", CA
550  ," CORNETT-", US
551  ," 551", US
552  ," DNIC--00552", US
553  ," BELWUE BelWue-Koordination", DE
554  ," CALINET-", US
555  ," VTSII", US
556  ," CALREN-", US
557  ," UMAINE-SYS-", US
558  ," NNEXT", US
559  ," SWITCH Peering requests: peering@switch.ch", CH
560  ," LVLT-560", US
561  ," 3COM-A", US
562  ," 3COM-B", US
563  ," 3COM-C", US
564  ," DNIC--00564", US
565  ," VTT- VTT autonomous system", FI
566  ," SSC-299-Z-566", CA
567  ," N-LNET-", US
568  ," DNIC--00568", US
569  ," DNIC--00569", US
570  ," SSD-NET-", US
571  ," DNIC--00571", US
572  ," GBMC-TOW", US
573  ," DNIC--00573", US
574  ," PSC-TEST-", US
575  ," DNIC--00575", US
576  ," DNIC--00576", US
577  ," BACOM", CA
578  ," PKDY-NUMBER", US
579  ," -Reserved -", ZZ
580  ," DNIC--00580", US
581  ," AMC-MAF-C2-ENCLAVES", US
582  ," GDSS-21AF-", US
583  ," GDSS-22AF-", US
584  ," GDSS-23AF-", US
585  ," GDSS-322ALD-", US
586  ," GDSS-834ALD-", US
587  ," GDSS-ANG-", US
588  ," DIRECTRON", US
589  ," UNT-CAMPUS-", US
590  ," EInet Operations Center", EU
591  ," NSTN-", CA
592  ," DNIC--00592", US
593  ," EINET-1 Easinet Air Base", EU
594  ," CENTURYLINK-LEGACY-LVLT-594", US
595  ," CENTURYLINK-LEGACY-LVLT-595", US
596  ," CENTURYLINK-LEGACY-LVLT-596", US
597  ," CENTURYLINK-LEGACY-LVLT-597", US
598  ," CENTURYLINK-LEGACY-LVLT-598", US
599  ," NISC-", US
600  ," OARNET-", US
601  ," BACOM4-", CA
602  ," BACOM3-", CA
603  ," BACOM2-", CA
604  ," ONELAMBDA-INC", US
605  ," VHS-CHIL", US
606  ," SCHAT-", US
607  ," -NICO1", US
608  ," -Reserved -", ZZ
609  ," EY--FWT", US
610  ," -HERE-US1", US
611  ," NECN-1-611", CA
612  ," AIRFIBER521", US
613  ," BP--613", US
614  ," CSUNET-", US
615  ," DNIC--00615", US
616  ," DNIC-BLK-00616-00665", US
617  ," DNIC-BLK-00616-00665", US
618  ," DNIC-BLK-00616-00665", US
619  ," DNIC-BLK-00616-00665", US
620  ," DNIC-BLK-00616-00665", US
621  ," DNIC-BLK-00616-00665", US
622  ," DNIC-BLK-00616-00665", US
623  ," DNIC-BLK-00616-00665", US
624  ," DNIC-BLK-00616-00665", US
625  ," DNIC-BLK-00616-00665", US
626  ," DNIC-BLK-00616-00665", US
627  ," DNIC-BLK-00616-00665", US
628  ," DNIC-BLK-00616-00665", US
629  ," DNIC-BLK-00616-00665", US
630  ," DNIC-BLK-00616-00665", US
631  ," DNIC-BLK-00616-00665", US
632  ," DNIC-BLK-00616-00665", US
633  ," DNIC-BLK-00616-00665", US
634  ," DNIC-BLK-00616-00665", US
635  ," DNIC-BLK-00616-00665", US
636  ," DNIC-BLK-00616-00665", US
637  ," DNIC-BLK-00616-00665", US
638  ," DNIC-BLK-00616-00665", US
639  ," DNIC-BLK-00616-00665", US
640  ," DNIC-BLK-00616-00665", US
641  ," DNIC-BLK-00616-00665", US
642  ," DNIC-BLK-00616-00665", US
643  ," DNIC-BLK-00616-00665", US
644  ," DNIC-BLK-00616-00665", US
645  ," DNIC-BLK-00616-00665", US
646  ," DNIC-BLK-00616-00665", US
647  ," DNIC-BLK-00616-00665", US
648  ," DNIC-BLK-00616-00665", US
649  ," DNIC-BLK-00616-00665", US
650  ," DNIC-BLK-00616-00665", US
651  ," DNIC-BLK-00616-00665", US
652  ," DNIC-BLK-00616-00665", US
653  ," DNIC-BLK-00616-00665", US
654  ," DNIC-BLK-00616-00665", US
655  ," DNIC-BLK-00616-00665", US
656  ," DNIC-BLK-00616-00665", US
657  ," DNIC-BLK-00616-00665", US
658  ," DNIC-BLK-00616-00665", US
659  ," DNIC-BLK-00616-00665", US
660  ," DNIC-BLK-00616-00665", US
661  ," DNIC-BLK-00616-00665", US
662  ," DNIC-BLK-00616-00665", US
663  ," DNIC-BLK-00616-00665", US
664  ," DNIC-BLK-00616-00665", US
665  ," DNIC-BLK-00616-00665", US
666  ," CTNOSC-N-666", US
667  ," DNIC--00667", US
668  ," DNIC--00668", US
669  ," OFRIR-IP-INTERNET- INRIA", EU
670  ," DNIC--00670", US
671  ," DNIC--00671", US
672  ," DNIC--00672", US
673  ," DNIC--00673", US
674  ," BBN-DSI", US
675  ," MSUS-", US
676  ," United Nations Development Programme", AR
677  ," U-", US
678  ," DNIC--00678", US
679  ," TUNET- Technische Universitaet Wien", AT
680  ," DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.", DE
681  ," ERX-KAWAIHIKO-1 The University of Waikato", NZ
682  ," -ORNL-IGRP1-", US
683  ," ARGONNE-", US
684  ," MTSAL-N", CA
685  ," NTTA-685", US
686  ," OSD-GW-", US
687  ," DNIC--00687", US
688  ," RECNET-", US
689  ," MERIT--26", US
690  ," MERIT--27", US
691  ," PEINET-", CA
692  ," DK-CUROTEC", DK
693  ," NOTRE-DAME-", US
694  ," DNIC--00694", US
695  ," SWITCH-TEST1 Zurich, Switzerland", CH
696  ," SWITCH-TEST2 Zurich, Switzerland", CH
697  ," Gesellschaft fuer Mathematik und Datenverarbeitung", EU
698  ," N-UIUC-REGION-", US
699  ," AMAZON", US
700  ," ROKNET-", US
701  ," UUNET", US
702  ," UUNET", US
703  ," UUNET", US
704  ," UUNET", US
705  ," UUNET", US
706  ," TEST-AUSTIN-IBM-", US
707  ," ELAN-", US
708  ," SB-COMM-", US
709  ," UHEY-NET- Royal Air Force Base", EU
710  ," BENT-NET- Royal Air Base", EU
711  ," SB-COMM-", ES
712  ," ALCON-NET- Royal Air Base", EU
713  ," AFMPCGW-", US
714  ," APPLE-ENGINEERING", US
715  ," WOODYNET-2", US
716  ," DNIC--00716", US
717  ," DNIC--00717", US
718  ," DNIC--00718", US
719  ," ELISA- Helsinki, Finland", FI
720  ," WR-LOGDIS-", US
721  ," DNIC-BLK-00721-00726", US
722  ," DNIC-BLK-00721-00726", US
723  ," DNIC-BLK-00721-00726", US
724  ," DNIC-BLK-00721-00726", US
725  ," DNIC-BLK-00721-00726", US
726  ," DNIC-BLK-00721-00726", US
727  ," AFCONC-BLOCK2-", US
728  ," AFCONC-BLOCK2-", US
729  ," AFCONC-BLOCK2-", US
730  ," AFCONC-BLOCK2-", US
731  ," AFCONC-BLOCK2-", US
732  ," AFCONC-BLOCK2-", US
733  ," AFCONC-BLOCK2-", US
734  ," AFCONC-BLOCK2-", US
735  ," AFCONC-BLOCK2-", US
736  ," AFCONC-BLOCK2-", US
737  ," AFCONC-BLOCK2-", US
738  ," AFCONC-BLOCK2-", US
739  ," AFCONC-BLOCK2-", US
740  ," AFCONC-BLOCK2-", US
741  ," AFCONC-BLOCK2-", US
742  ," AFCONC-BLOCK2-", US
743  ," AFCONC-BLOCK2-", US
744  ," AFCONC-BLOCK2-", US
745  ," AFCONC-BLOCK2-", US
746  ," AFCONC-BLOCK2-", US
747  ," DNIC--00747", US
748  ," DNIC--00748", US
749  ," DNIC--00749", US
750  ," MERIT--16", US
751  ," MERIT--17", US
752  ," MERIT--18", US
753  ," MERIT--19", US
754  ," MERIT--20", US
755  ," MERIT--21", US
756  ," MERIT--22", US
757  ," MERIT--23", US
758  ," MERIT--24", US
759  ," MERIT--25", US
760  ," UNIVIE University of Vienna, Austria", AT
761  ," TIETORAITTI- Seinajoen Tietoraitti Oy", EU
762  ," WELLFLEET-", US
763  ," SQNT-TEAMNET-", US
764  ," FI-PMO- Prime Ministers Office", EU
765  ," DNIC--00765", US
766  ," REDIRIS RedIRIS Autonomous System", ES
767  ," DNIC--00767", US
768  ," DNIC--00768", US
769  ," DNIC--00769", US
770  ," DNIC--00770", US
771  ," 771", US
772  ," DNIC--00772", US
773  ," PARSONS-PGS-2", US
774  ," FR-INRIA1 Institut National de Recherche en Informatique", EU
775  ," FR-INRIA-ROCQ Institut National de Recherche en Informatique", EU
776  ," FR-INRIA-SOPHIA INRIA Sophia-Antipolis", EU
777  ," CEA-Saclay", EU
778  ," FR-INRIA-MONTBONNOT INRIA Rhone-Alpes", EU
779  ," FR-RENATER Reseau National de telecommunications pour la Technologie", EU
780  ," FR-ARAMIS IMAG", EU
781  ," FR-RENATER-LOTHAIRE Reseaux Regionaux StanNet et AmperNet", EU
782  ," FR-LORIA  for the  Laboratoire en recherche informatique et ses applications", EU
783  ," FR-INRIA2 Institut National de Recherche en Informatique", EU
784  ," HJFNET-", US
785  ," DNIC--00785", US
786  ," JANET Jisc Services Limited", GB
787  ," DNIC--00787", US
788  ," DNIC--00788", US
789  ," IN2P3 IN2P3 Autonomous System", EU
790  ," EUNET", FI
791  ," AINET-791", US
792  ," ORACLE-NBLOCK-N", US
793  ," ORACLE-NBLOCK-N", US
794  ," ORACLE-NBLOCK-N", US
795  ," AMERITECH-", US
796  ," AMERITECH-", US
797  ," AMERITECH-", US
798  ," DNIC--00798", US
799  ," DNIC--00799", US
800  ," ONEWEB", US
801  ," AMAZON-R", US
802  ," YORKU-", CA
803  ," SKTEL", CA
804  ," ISTS--", CA
805  ," -Reserved -", ZZ
806  ," SSC-299-806", CA
807  ," -Reserved -", ZZ
808  ," GONET-N-1", CA
809  ," -Reserved -", ZZ
810  ," SSCWEST", CA
